iter	Passed	Remaining
560	1094	856
561	1096	854
562	1097	852
563	1099	849
564	1101	847
565	1102	845
566	1104	843
567	1105	840
568	1107	838
569	1109	836
570	1110	834
571	1112	832
572	1114	830
573	1115	828
574	1117	825
575	1119	823
576	1120	821
577	1122	819
578	1123	817
579	1125	815
580	1126	812
581	1128	810
582	1130	808
583	1131	806
584	1133	804
585	1135	801
586	1136	799
587	1138	797
588	1140	795
589	1141	793
590	1143	791
591	1144	789
592	1146	786
593	1148	784
594	1149	782
595	1151	780
596	1152	778
597	1154	775
598	1155	773
599	1157	771
600	1158	769
601	1159	766
602	1161	764
603	1163	762
604	1164	760
605	1166	758
606	1167	756
607	1169	753
608	1170	751
609	1172	749
610	1173	747
611	1175	745
612	1176	743
613	1178	740
614	1180	739
615	1182	736
616	1183	734
617	1185	732
618	1186	730
619	1188	728
620	1190	726
621	1191	724
622	1193	722
623	1195	720
624	1196	718
625	1198	715
626	1199	713
627	1201	711
628	1202	709
629	1204	707
630	1206	705
631	1207	703
632	1209	701
633	1210	698
634	1212	696
635	1213	694
636	1215	692
637	1216	690
638	1218	688
639	1219	686
640	1221	683
641	1222	681
642	1224	679
643	1225	677
644	1227	675
645	1228	673
646	1229	671
647	1231	668
648	1233	666
649	1234	664
650	1236	662
651	1237	660
652	1239	658
653	1241	656
654	1242	654
655	1244	652
656	1245	650
657	1247	648
658	1249	646
659	1250	644
660	1252	642
661	1254	640
662	1255	638
663	1257	636
664	1259	634
665	1260	632
666	1262	630
667	1264	628
668	1265	626
669	1267	624
670	1268	622
671	1270	619
672	1271	617
673	1272	615
674	1274	613
675	1276	611
676	1277	609
677	1278	607
678	1280	605
679	1282	603
680	1283	601
681	1285	599
682	1286	597
683	1288	595
684	1289	593
685	1291	591
686	1292	588
687	1294	586
688	1295	584
689	1297	582
690	1298	580
691	1300	578
692	1301	576
693	1303	574
694	1304	572
695	1306	570
696	1307	568
697	1309	566
698	1310	564
699	1311	562
700	1313	560
701	1314	558
702	1316	556
703	1317	554
704	1319	552
705	1320	550
706	1322	548
707	1324	546
708	1325	544
709	1327	542
710	1329	540
711	1330	538
712	1332	536
713	1333	534
714	1335	532
715	1338	530
716	1339	528
717	1341	526
718	1342	524
719	1344	522
720	1346	520
721	1347	518
722	1349	516
723	1350	514
724	1352	512
725	1353	511
726	1355	509
727	1357	507
728	1358	505
729	1360	503
730	1361	501
731	1363	499
732	1365	497
733	1366	495
734	1368	493
735	1369	491
736	1371	489
737	1372	487
738	1374	485
739	1375	483
740	1377	481
741	1378	479
742	1380	477
743	1382	475
744	1383	473
745	1385	471
746	1386	469
747	1388	467
748	1389	465
749	1391	463
750	1392	461
751	1394	459
752	1395	457
753	1397	456
754	1399	454
755	1400	452
756	1402	450
757	1403	448
758	1405	446
759	1407	444
760	1408	442
761	1410	440
762	1411	438
763	1413	436
764	1414	434
765	1416	432
766	1418	430
767	1419	428
768	1421	426
769	1422	424
770	1424	423
771	1425	421
772	1427	419
773	1429	417
774	1431	415
775	1433	413
776	1435	411
777	1437	410
778	1438	408
779	1440	406
780	1442	404
781	1444	402
782	1445	400
783	1446	398
784	1448	396
785	1449	394
786	1451	392
787	1452	390
788	1454	388
789	1455	387
790	1457	385
791	1458	383
792	1460	381
793	1461	379
794	1463	377
795	1464	375
796	1466	373
797	1467	371
798	1468	369
799	1470	367
800	1471	365
801	1473	363
802	1474	361
803	1475	359
804	1477	357
805	1478	355
806	1480	354
807	1481	352
808	1483	350
809	1485	348
810	1486	346
811	1488	344
812	1489	342
813	1491	340
814	1492	338
815	1494	336
816	1495	335
817	1497	333
818	1499	331
819	1501	329
820	1502	327
821	1504	325
822	1505	323
823	1507	321
824	1508	320
825	1510	318
826	1511	316
827	1513	314
828	1514	312
829	1516	310
830	1517	308
831	1519	306
832	1520	304
833	1522	303
834	1524	301
835	1525	299
836	1527	297
837	1528	295
838	1530	293
839	1531	291
840	1533	289
841	1534	287
842	1536	286
843	1537	284
844	1539	282
845	1540	280
846	1542	278
847	1543	276
848	1545	274
849	1546	272
850	1548	271
851	1550	269
852	1552	267
853	1553	265
854	1555	263
855	1556	261
856	1558	260
857	1559	258
858	1561	256
859	1562	254
860	1564	252
861	1566	250
862	1567	248
863	1569	246
864	1570	245
865	1572	243
866	1573	241
867	1575	239
868	1576	237
869	1578	235
870	1579	233
871	1581	232
872	1582	230
873	1584	228
874	1585	226
875	1587	224
876	1588	222
877	1590	220
878	1591	219
879	1593	217
880	1594	215
881	1596	213
882	1597	211
883	1599	209
884	1600	208
885	1602	206
886	1603	204
887	1606	202
888	1607	200
889	1609	198
890	1610	197
891	1612	195
892	1613	193
893	1615	191
894	1616	189
895	1618	187
896	1620	186
897	1622	184
898	1624	182
899	1625	180
900	1627	178
901	1629	177
902	1630	175
903	1632	173
904	1633	171
905	1635	169
906	1636	167
907	1638	165
908	1639	164
909	1641	162
910	1643	160
911	1644	158
912	1646	156
913	1648	155
914	1649	153
915	1651	151
916	1652	149
917	1654	147
918	1655	145
919	1657	144
920	1659	142
921	1661	140
922	1663	138
923	1665	136
924	1666	135
925	1668	133
926	1669	131
927	1670	129
928	1672	127
929	1674	126
930	1676	124
931	1677	122
932	1679	120
933	1680	118
934	1681	116
935	1683	115
936	1684	113
937	1686	111
938	1688	109
939	1689	107
940	1691	106
941	1692	104
942	1694	102
943	1695	100
944	1697	98
945	1698	96
946	1700	95
947	1701	93
948	1703	91
949	1705	89
950	1707	87
951	1709	86
952	1711	84
953	1712	82
954	1717	80
955	1719	79
956	1722	77
957	1723	75
958	1725	73
959	1727	71
960	1729	70
961	1731	68
962	1733	66
963	1734	64
964	1736	62
965	1738	61
966	1739	59
967	1741	57
968	1743	55
969	1745	53
970	1746	52
971	1748	50
972	1750	48
973	1751	46
974	1753	44
975	1755	43
976	1756	41
977	1758	39
978	1759	37
979	1761	35
980	1763	34
981	1764	32
982	1766	30
983	1767	28
984	1769	26
985	1770	25
986	1772	23
987	1773	21
988	1775	19
989	1777	17
990	1778	16
991	1780	14
992	1782	12
993	1784	10
994	1786	8
995	1788	7
996	1790	5
997	1792	3
998	1793	1
999	1795	0
